year,country,iso3,description,source_org,destination_org,destination_org_type,amountUSD,data_source
2022,Italy,ITA,EMMA- Empowering woMen victims of gender-based violence and trafficking of huMAn beings,UNHCR,Associazione Differenza Donna,NGOs: National,119659,UNHCR partner info
2022,Italy,ITA,The Statelessness Legal Clinics (SLC) - Strengthening Legal Education and Practice on Statelessness,UNHCR,Associazione International University College of Turin,Other: National,34649,UNHCR partner info
2022,Greece,GRC,Provision of targeted support and assistance to asylum seekers and BIP with disabilities,UNHCR,ATHENS DEVELOPMENT AND DESTINATION MANAGEMENT AGENCY,Governments: Local/National,165432,UNHCR partner info
2022,Niger,NER,"Projet de prévention et réduction des risques d’apatridie, d'identification et de documentation des",UNHCR,AU SECOURS DES OUBLIES,NGOs: National,130556,UNHCR partner info
2022,Global,Global,Country of Origin Information,UNHCR,"AUSTRIAN RED CROSS, AUSTRIA",Red Cross: National,28716,UNHCR partner info
2022,Romania,ROU,Autism Voice Line - Specialized assistance and support for Ukrainian refugees with mental disorder,UNHCR,Autism Voice,NGOs: National,87114,UNHCR partner info
2022,Moldova,MDA,Strengthening the national child protection mechanisms,UNHCR,AVE COPIII,NGOs: National,121178,UNHCR partner info
2022,Albania,ALB,Border monitoring and Refugee protection,UNHCR,Avokati i Popullit,Governments: Local/National,53849,UNHCR partner info
2022,"Congo, Democratic Republic of",COD,"Réponse intégrée aux besoins de protection des IDPs et des communautés hôtes au Grand-Kasai; Renforcement de la protection communautaire dans les zones
affectées par le déplacement au Nord Kivu; Renforcement de la protection communautaire dans les zones affectées par le déplacement au Sud Kivu",UNHCR,AVSI Foundation,NGO: International,2392124,UNHCR partner info
2022,Ecuador,ECU,"ACTIVADOS. Proyecto de integración de población en movilidad en comunidades de acogida; Asegurar a la población de interés el acceso a viviendas y mejoras
de espacios comunitarios",UNHCR,AVSI Foundation,NGO: International,965716,UNHCR partner info
2022,Mozambique,MOZ,Multi-Sectoral Assistance to IDPs in Cabo Delgado,UNHCR,AVSI Foundation,NGO: International,1269856,UNHCR partner info
2022,Azerbaijan,AZE,Post Conflict Support to Youth and Children in Azerbaijan,UNHCR,Azerbaijan Capoeira Federation,NGOs: National,27627,UNHCR partner info
2022,Bosnia and Herzegovina,BIH,Psychosocial support and individual protection assist. to recognized refugees and AS in BIH,UNHCR,"B&H Women's Initiative, BSN",NGOs: National,523627,UNHCR partner info
2022,India,IND,"Comprehensive assistance to urban refugees in Jammu, Telangana, and essential support in CHN & Blore",UNHCR,BAL RAKSHA BHARAT,NGOs: National,1724538,UNHCR partner info
2022,Pakistan,PAK,Advocacy Activities through ICRMS to Maintain Asylum Space for Refugees in Balochistan,UNHCR,"Balochistan University of Information Technology, Engineering and Management Sci",Other: National,167324,UNHCR partner info
2022,Bangladesh,BGD,Assistance to Rohingya from Northern Rakhine State,UNHCR,BANGLADESH RED CRESCENT SOCIETY,Red Cross: National,3594746,UNHCR partner info
2022,Syria,SYR,Multi- Sectorial Protection Response (through two satellite centers) for POC in Sweida and Quneitra,UNHCR,Bara'em Association for Children Care,NGOs: Local,742466,UNHCR partner info
2022,Kazakhstan,KAZ,Social and legal assistance to Afghan citizens temporarily residing in Uzbekistan,UNHCR,BARQAROR HAYOT international social educational center,NGOs: National,94540,UNHCR partner info
2022,Afghanistan,AFG,Community-based Programming for Protection and Solutionssupport activities in the Eastern Re,UNHCR,BASIC EDUCATION AND EMPLOYABLE SKILLS TRAINING,NGOs: National,25365,UNHCR partner info
2022,Belarus,BLR,Protection assistance to refugees and asylum-seekers in Belarus,UNHCR,BELARUSIAN MOVEMENT OF MEDICAL WORKERS,NGOs: National,141027,UNHCR partner info
2022,Colombia,COL,Entornos Protectores Garantia y Oportunidades para NNA en NdS y Arauca,UNHCR,BENPOSTA NACION DE MUCHACHOS,NGOs: National,186310,UNHCR partner info
2022,Nigeria,NGA,Providing Camp Coordination/Management Assistance to Cameroonian Refugees in Benue State,UNHCR,Benue State Emergency Management Agency,Governments: Local/National,151199,UNHCR partner info
2022,Colombia,COL,Estrategia de fortalecimiento para la integración y gestión de casos de NNA en NdS y Arauca,UNHCR,Bethany Christian Services Global,NGO: International,225480,UNHCR partner info
2022,Panama,PAN,Strengthening of Child Protective Services in Guyana Hinterland Areas,UNHCR,Blossom Incorporated,NGOs: National,152809,UNHCR partner info
2022,Ethiopia,ETH,Support to co-existence project for host community and refugees in BOKOLMANYO,UNHCR,"Bokolmanyo Woreda Administration, Somali Regional State",Governments: Local/National,56658,UNHCR partner info
2022,Nigeria,NGA,"Prevention, Risk Mitigation and Multi sectoral Response to GBV (Borno and Adamawa)",UNHCR,Borno Women Development Initative,NGOs: National,645885,UNHCR partner info
2022,India,IND,DAFI Scholarship Programme-Tertiary Education for Refugees in India; Comprehensive protection and assistance to urban refugees in Delhi/NCR,UNHCR,BOSCO ORGANISATION FOR SOCIAL CONCERN AND OPERATION (BOSCO),NGOs: National,3053001,UNHCR partner info
2022,Bangladesh,BGD,"Multi-Sectoral Emergency Assistance for Rohingya Refugees in Cox’s Bazar and Bhasan Char, Bangladesh",UNHCR,BRAC BANGLADESH,NGOs: National,15105236,UNHCR partner info
2022,Myanmar,MMR,Capacity Building and Research on Anti-discrimination and Legal Identity,UNHCR,BRAVEHEART Foundation,NGOs: National,83275,UNHCR partner info
2022,Myanmar,MMR,Support to the imp. of tripartite MoU through QIPs and management of technical workshop in nRS,UNHCR,BRIDGE ASIA-JAPAN,NGO: International,611905,UNHCR partner info
2022,Hungary,HUN,"Humanitarian assistance, psychosocial counselling and outreach for vulnerable refugees from Ukraine",UNHCR,Budapest-Jozsefvarosi Evangelikus Egyhazkozseg,NGOs: National,138796,UNHCR partner info
2022,Ethiopia,ETH,Free Legal Aid Service Provision in West Guji Zone,UNHCR,Bule Hora University,Other: National,48055,UNHCR partner info
2022,Bulgaria,BGR,Advocacy for refugee integration in Bulgaria,UNHCR,BULGARIAN COUNCIL FOR REFUGEES AND MIGRANTS,NGOs: National,49157,UNHCR partner info
2022,Bulgaria,BGR,"Border, detention&RSD monitoring, advocacy&strategic litigation for asylum seekers&BIPs in Bulgaria",UNHCR,BULGARIAN HELSINKI COMMITTEE,NGOs: National,438442,UNHCR partner info
2022,Bulgaria,BGR,Improving the Reception and Integration Conditions for Refugees and Asylum seekers in Bulgaria,UNHCR,BULGARIAN RED CROSS,Red Cross: National,1010934,UNHCR partner info
2022,Uganda,UGA,"Provision of Coordination, Supervision, Monitoring and oversight Services in Bundibugyo DLG",UNHCR,Bundibugyo District Local Government,Governments: Local/National,19482,UNHCR partner info
2022,Italy,ITA,EFRIS – European Family Reunion Innovative Strategies,UNHCR,C.I.D.A.S. - Cooperativa Inserimento Disabili Assistenza Solidarietà,NGOs: National,66733,UNHCR partner info
