year,recipient_location_iso3,total_usd_defl_m_lnha,destination_org_country,total_usd_defl_m,lnha_funding_perc
2024,UKR,296.257711014817,Ukraine,3097.2611304,0.0956515122690208
2024,TCD,89.0057638986564,Chad,872.301938688,0.102035499350749
2024,CHN,,China,0.20748103,
2024,CYP,0.579106110836294,Cyprus,0.307715954,1.8819502314017
2024,EGY,9.49809164551562,Egypt,185.15845361,0.0512970996480749
2024,ERI,0.05162252244,Eritrea,9.131227933,0.00565340421012136
2024,SWZ,,Eswatini,5.773621245,
2024,ETH,94.4590250110538,Ethiopia,1432.903720754,0.0659214039596108
2024,GMB,0.7843513793673,Gambia,4.113601163,0.190672685145606
2024,GRC,7.57291882931775,Greece,7.692640482,0.984436858454209
2024,HUN,2.43213341887919,Hungary,4.16061361,0.584561232274387
2024,IRQ,16.1515496162904,Iraq,249.469441824,0.0647435994492877
2024,JOR,84.9975028631623,Jordan,517.040155249001,0.164392459657661
2024,LBR,0.665182415606269,Liberia,1.75881189,0.37819986286667
2024,MLI,20.1115701119291,Mali,351.377602383,0.057236346242717
2024,NGA,28.413756017294,Nigeria,647.417220821,0.0438878594876764
2024,MKD,0.587106239652545,"North Macedonia, Republic of",0.816987349,0.718623416104508
2024,PAK,51.4424031529793,Pakistan,186.94379158,0.275175777265463
2024,PHL,4.19075772930465,Philippines,56.601076169,0.0740402482241123
2024,RWA,2.64974282220509,Rwanda,93.792135383,0.0282512260903846
2024,SEN,2.0655442057431,Senegal,7.630558166,0.270693723946263
2024,SRB,2.14144437381307,Serbia,2.238501004,0.956642132385244
2024,ZAF,3.15270909003309,South Africa,4.54367841,0.693867128248869
2024,SDN,119.190994635872,Sudan,2075.845851079,0.057418037362417
2024,SWE,2.06807057070812,Sweden,0.019627746,105.364649140463
2024,TZA,4.25649562738539,"Tanzania, United Republic of",41.003614543,0.103807814867678
2024,THA,4.3751733714545,Thailand,45.680640855,0.095777407881431
2024,UZB,0.355076760605401,Uzbekistan,1.258601314,0.282120125456504
2023,MRT,8.48675145,Mauritania,61.463529251,0.13807784150081
2023,YEM,615.571453561,Yemen,2479.257546768,0.248288627522167
2023,NER,25.85339035,Niger,408.376981199,0.0633076582183797
2023,KEN,82.098687189,Kenya,472.682675001001,0.173686685658251
2023,SEN,4.62685967,Senegal,12.50468,0.370010241765483
2023,BGD,96.03861081,Bangladesh,766.850517579,0.125237720531507
2023,TCD,63.87170936,Chad,619.255647666001,0.10314271593765
2023,JOR,47.86547542,Jordan,457.978918769,0.104514582349461
2023,MAR,5.41046,Morocco,41.5009915,0.130369415390955
2023,TUN,7.854119,Tunisia,19.532052334,0.402114374142246
2023,LBN,316.59843784,Lebanon,979.689783831,0.323161926423247
2023,ZWE,5.05641099,Zimbabwe,78.802209267,0.0641658531789093
2023,BFA,65.51623672,Burkina Faso,477.929594749,0.13708344793841
2023,BDI,13.4884156871,Burundi,98.415897584,0.137055252436095
2023,CMR,4.56330395,Cameroon,201.637437418,0.022631233606387
2023,MWI,24.36903796273,Malawi,80.874436334,0.301319416460466
2022,MRT,15.4656923710564,Mauritania,90.838013347,0.170255731066879
2022,PSE,86.6534746632128,Occupied Palestinian Territory,1145.648214487,0.0756370704091
2022,YEM,257.195671368596,Yemen,3257.775956099,0.0789482379496019
2016,HTI,5.17039057475,Haiti,302.349204368,0.0171007249235455
2016,SOM,46.9204061815301,Somalia,821.856164103001,0.0570907760152173
