year,donor_org,donor_org_type,total_usd_defl_m_lnha
2018,United Nations Human Settlements Programme (UN-HABITAT),Multilateral: UN,0.130392832034736
2018,Heartland Alliance International,NGOs: International,0.143322725278449
2018,War Child UK,NGOs: International,0.117865493842942
2018,Janat Al-Frdaws Foundation For Relief & Development,NGOs: Local/National,0.0544761999608209
2018,Qatar Red Crescent Society,Other,0.016073760687235
2018,UN PONTE PER,NGOs: International,0.1565096849276
2018,Jordan River Foundation,NGOs: Local/National,0.00726176496674523
2018,Noor Al Hussein Foundation,NGOs: Local/National,0.0700117620460333
2018,Caritas Switzerland,NGOs: International,0.455393684182523
2018,Welfare Association - Lebanon Branch,NGOs: Local/National,1.27601419041563
2018,Developmental Action Without Borders (Naba''a),NGOs: Local/National,0.0152708383825916
2018,United Nations Relief and Works Agency,Multilateral: UN,0.0218856492493202
2018,Tabitha for relief and development,NGOs: Local/National,0.0091887566198975
2018,Arci Culture Solidali,NGOs: International,0.0962631645894024
2018,International Rescue Committee,NGOs: International,0.215003712476454
2018,Terre des hommes foundation,NGOs: International,0.0461625630190089
2018,HelpAge International UK,NGOs: International,0.220805821576137
2018,HELVETAS Swiss Intercooperation,NGOs: International,0.239082696052952
2018,Metta Development Foundation,NGOs: Local/National,0.315114811107387
2018,World Concern Myanmar,NGOs: International,0.0790786801287494
2018,DanChurchAid,NGOs: International,0.712535568692367
2018,Solidarités International,NGOs: International,0.128825503630281
2018,People in Need,NGOs: International,0.251955356469718
2018,Triangle Génération Humanitaire,NGOs: International,0.182210013670682
2018,Community Partners International,NGOs: International,0.149701461673018
2018,Action Contre la faim,NGOs: International,0.0337424269877808
2018,Save the Children Fund,NGOs: International,0.365494750879025
2018,Street Child,NGOs: International,0.0951692649917955
2018,Mines Advisory Group,NGOs: International,0.0109389959760685
2018,Himilo Relief and Development Association,NGOs: Local/National,0.229225347998997
2018,Comprehensive Community Based Rehabilitation in Somaliland,NGOs: Local/National,0.611782722923502
2018,Andre Foods South Sudan,NGOs: Local/National,0.254116552026719
2018,Africa Development Aid,NGOs: Local/National,0.113458172364184
2018,Organization for Peoples' Empowerment & Needs,NGOs: Local/National,0.109389959760685
2018,Lacha Community and Economic Development,NGOs: Local/National,0.00109389959760685
2018,American Refugee Committee,NGOs: International,0.1905263525445
2018,United Methodist Committee on Relief,NGOs: International,0.0386146557955216
2018,Oxfam America,NGOs: International,0.40288181066812
2018,Concern Worldwide,NGOs: International,0.264270653163512
2018,Adventist Development and Relief Agency,NGOs: International,0.0330209564471751
2018,Save the Children International,NGOs: International,0.227794264789425
2018,Practical Action,NGOs: International,1.20025405161815
2018,Mercy Corps Europe (formerly Mercy Corps Scotland),NGOs: International,0.0218779919521369
2018,World Relief,NGOs: International,0.115948730151028
2018,Kuwaiti Patients Helping Fund,NGOs: International,0.828523930825815
2018,Islamic Relief Worldwide,NGOs: International,0.102100212842233
2018,Alsalam Organization for Rehabilitation and Development,NGOs: Local/National,0.0234094513887865
2018,United Nations Development Programme,Multilateral: UN,0.232164874997687
2018,GOAL,NGOs: International,0.0314922755155035
2018,World Vision Sudan,NGOs: International,0.350820558153956
2018,International Medical Corps,NGOs: International,0.200790543736797
2018,Vétérinaires sans Frontières (Germany),NGOs: International,0.309116336090938
2018,National NGO,NGOs: Local/National,2.64863158411058
2018,Others,Other,0.791325699985258
2018,UN Agency,Multilateral: UN,5.20435543125745
2018,International NGO,NGOs: International,0.919751711482494
2018,OXFAM GB,NGOs: International,0.435459551815333
2018,National Foundation for Development and Humanitarian Response,NGOs: Local/National,0.172026650719653
2018,Millennium Development Foundation,NGOs: Local/National,0.0601644778683765
2018,Bena Charity For Human Development,NGOs: Local/National,0.390851420124523
2018,Tamdeen Youth Foundation,NGOs: Local/National,0.099135744932718
2018,SOUL for Development,NGOs: Local/National,0.0553786671288466
